Wall time,Step,Value
1736636366.7661788,962,56.0
1736636370.3951616,963,80.0
1736636373.1276708,964,65.0
1736636378.4823098,966,40.0
1736636382.3354235,967,80.0
1736636387.6556528,969,80.0
1736636394.9429731,971,80.0
1736636398.7266974,972,80.0
1736636406.3637195,974,80.0
1736636410.3211422,976,12.0
1736636412.1316843,977,40.0
1736636415.8124425,978,80.0
1736636419.27109,979,80.0
1736636428.7739325,982,53.0
1736636432.973169,983,80.0
1736636436.4336724,984,80.0
1736636440.1115482,985,80.0
1736636444.4647667,987,80.0
1736636447.9602695,988,80.0
1736636452.992921,990,80.0
1736636454.9199052,991,44.0
1736636472.3447511,996,80.0
1736636475.761273,997,80.0
1736636482.7794054,999,80.0
1736636486.146207,1000,80.0
1736636490.0917034,1002,80.0
1736636493.5718277,1003,80.0
1736636497.0128713,1004,80.0
1736636500.6212318,1005,80.0
1736636507.0868196,1007,80.0
1736636509.1370661,1008,48.0
1736636512.5700865,1009,80.0
1736636519.6889951,1011,80.0
1736636520.7108972,1012,25.0
1736636523.9453812,1013,80.0
1736636525.6591,1014,41.0
1736636533.1322262,1017,59.0
1736636535.7873306,1019,16.0
1736636545.8988674,1022,80.0
1736636552.6920319,1024,80.0
1736636553.3423047,1025,16.0
1736636556.6421921,1026,80.0
1736636560.144286,1027,80.0
1736636564.5948446,1029,27.0
1736636571.7715704,1031,80.0
1736636575.5171385,1032,80.0
1736636579.0787246,1033,80.0
1736636583.1677983,1035,80.0
1736636585.5898616,1036,51.0
1736636589.4435837,1037,80.0
1736636593.0089874,1038,80.0
1736636596.4215996,1039,80.0
1736636606.0878248,1042,80.0
1736636609.5540285,1043,80.0
1736636611.8017654,1044,52.0
1736636622.8502874,1049,50.0
1736636625.5652854,1050,61.0
1736636629.1929064,1051,80.0
1736636631.790606,1052,59.0
1736636639.362647,1054,80.0
1736636642.9862585,1055,80.0
1736636646.4721365,1056,80.0
1736636650.295821,1057,80.0
1736636653.7778819,1058,80.0
1736636671.5064123,1063,80.0
1736636671.9337585,1064,10.0
1736636675.3813474,1065,80.0
1736636678.6933546,1066,80.0
1736636682.4042249,1067,80.0
1736636683.5588095,1068,26.0
1736636689.4806147,1070,80.0
1736636693.1048741,1071,80.0
1736636695.440902,1072,44.0
1736636696.002,1073,13.0
1736636699.5978234,1074,80.0
1736636703.0697482,1075,75.0
1736636704.344879,1076,27.0
1736636707.0064738,1077,59.0
1736636710.611549,1078,80.0
1736636714.8014514,1080,13.0
1736636715.4365234,1081,15.0
1736636716.0392725,1082,13.0
1736636719.571183,1083,80.0
1736636722.8844395,1084,80.0
1736636726.6283863,1085,80.0
1736636730.3726661,1086,80.0
1736636735.2886052,1088,80.0
1736636738.2883537,1090,43.0
1736636744.0322433,1092,80.0
1736636747.609772,1093,80.0
1736636751.2774649,1094,80.0
1736636758.4384062,1096,80.0
1736636762.4632072,1098,9.0
1736636765.8036418,1099,80.0
1736636772.8392746,1101,80.0
1736636779.708309,1103,80.0
1736636783.4066772,1104,80.0
1736636787.2010095,1105,80.0
1736636794.2162523,1107,80.0
1736636802.442874,1110,21.0
1736636806.3151572,1111,80.0
1736636816.6936555,1114,80.0
1736636823.8720536,1116,80.0
1736636834.4395719,1119,69.0
1736636845.0475616,1122,80.0
1736636848.997184,1123,80.0
1736636852.6000652,1124,80.0
1736636853.9598057,1125,32.0
1736636857.4268324,1126,80.0
1736636860.8665698,1127,80.0
1736636864.5083513,1128,80.0
1736636867.8828895,1129,80.0
1736636871.2197533,1130,80.0
1736636871.9863436,1131,18.0
1736636879.2327738,1133,80.0
1736636882.6599772,1134,80.0
1736636886.0901496,1135,80.0
1736636896.9870343,1138,80.0
1736636900.6113112,1139,80.0
1736636908.0101445,1141,80.0
1736636911.8734834,1142,80.0
1736636915.6939957,1143,80.0
1736636919.1582997,1144,80.0
1736636920.884372,1146,15.0
1736636929.125991,1149,80.0
1736636932.4948273,1150,80.0
1736636936.0042505,1151,80.0
1736636939.6978416,1152,80.0
1736636943.1876442,1153,80.0
1736636947.0903754,1154,80.0
1736636950.830149,1155,80.0
1736636954.235786,1156,80.0
1736636955.774533,1157,35.0
1736636959.6735294,1158,80.0
1736636963.1569748,1159,80.0
1736636966.5042088,1160,80.0
1736636969.8680174,1161,80.0
1736636973.751412,1162,80.0
1736636981.029296,1164,80.0
1736636984.429039,1165,80.0
1736636987.643478,1166,74.0
1736636991.0863512,1167,80.0
1736637027.8470566,1177,80.0
1736637038.8203633,1180,80.0
1736637042.2997253,1181,80.0
1736637046.1611476,1182,80.0
1736637049.6816833,1183,80.0
1736637056.7389956,1185,80.0
1736637060.412621,1186,80.0
1736637063.89618,1187,80.0
1736637067.465985,1188,80.0
1736637070.8268151,1189,80.0
1736637077.9022746,1191,80.0
1736637081.2506547,1192,80.0
1736637084.8528671,1193,80.0
1736637085.5730133,1194,17.0
1736637089.0772734,1195,80.0
1736637090.649319,1196,29.0
1736637094.167519,1197,80.0
1736637097.8874207,1198,80.0
1736637101.2907748,1199,80.0
1736637101.8051164,1200,12.0
1736637105.522601,1201,80.0
1736637112.4246962,1203,80.0
1736637115.7586803,1204,80.0
1736637123.2249641,1206,80.0
1736637126.5411143,1207,80.0
1736637130.195487,1208,80.0
1736637137.575825,1210,80.0
1736637141.000299,1211,80.0
1736637144.553149,1212,80.0
1736637148.2665405,1213,80.0
1736637151.5956063,1214,80.0
1736637155.1423492,1215,80.0
1736637169.385747,1219,80.0
1736637176.9754896,1221,80.0
1736637187.497337,1224,80.0
1736637190.8275716,1225,80.0
1736637197.884821,1227,80.0
1736637201.8336117,1228,80.0
1736637205.4317286,1229,80.0
1736637212.7843678,1231,80.0
1736637216.6409628,1232,80.0
1736637220.0730128,1233,80.0
1736637223.4040265,1234,80.0
1736637226.787902,1235,80.0
1736637230.541702,1236,80.0
1736637233.9393227,1237,80.0
1736637237.495002,1238,80.0
1736637240.856079,1239,80.0
1736637246.1814055,1242,18.0
1736637249.626115,1243,80.0
1736637253.1679218,1244,80.0
1736637257.2849987,1246,10.0
1736637260.6976187,1247,80.0
1736637264.1318853,1248,80.0
1736637267.7806942,1249,80.0
1736637271.226042,1250,80.0
1736637281.894244,1253,80.0
1736637285.383674,1254,80.0
1736637288.9223628,1255,80.0
1736637292.359623,1256,80.0
1736637296.1791286,1257,80.0
1736637299.622474,1258,80.0
1736637302.6916754,1259,72.0
1736637310.2106252,1261,80.0
1736637313.564103,1262,80.0
1736637313.8695579,1263,7.0
1736637317.3593397,1264,80.0
1736637320.8638759,1265,80.0
1736637324.618097,1266,80.0
1736637327.9823916,1267,80.0
1736637331.3130946,1268,80.0
1736637342.181094,1271,80.0
1736637345.763141,1272,80.0
1736637353.0661302,1274,80.0
1736637364.2769423,1278,80.0
1736637368.0967748,1279,80.0
1736637373.890436,1281,47.0
1736637377.3549206,1282,80.0
1736637388.3776183,1285,80.0
1736637395.4119935,1287,80.0
1736637399.3070893,1288,80.0
1736637402.7964888,1289,80.0
1736637410.071685,1291,80.0
1736637414.1881864,1292,80.0
1736637417.8600585,1293,80.0
1736637421.246161,1294,80.0
1736637428.9251642,1296,80.0
1736637432.810759,1297,80.0
1736637436.424201,1298,80.0
1736637439.7870033,1299,80.0
1736637442.7194853,1300,67.0
1736637450.1763487,1302,80.0
1736637453.7954843,1303,80.0
1736637457.2025032,1304,80.0
1736637461.4815063,1306,80.0
1736637465.391288,1307,80.0
1736637475.8957372,1310,80.0
1736637483.2434556,1312,80.0
1736637486.628913,1313,80.0
1736637491.3000016,1315,80.0
1736637494.6529994,1316,80.0
1736637497.8655326,1317,73.0
1736637501.3803623,1318,80.0
1736637504.2157097,1319,57.0
1736637507.7405512,1320,80.0
1736637511.2272735,1321,80.0
1736637518.2621212,1324,80.0
1736637521.844034,1325,80.0
1736637525.3197024,1326,80.0
1736637528.9703553,1327,80.0
1736637532.730699,1328,80.0
1736637536.373773,1329,80.0
1736637539.8973384,1330,80.0
1736637547.2183537,1332,80.0
1736637550.5338895,1333,80.0
1736637553.921707,1334,80.0
1736637557.2930875,1335,80.0
1736637561.0873237,1336,80.0
1736637564.5140996,1337,80.0
1736637575.4151561,1340,80.0
1736637580.7327628,1342,80.0
1736637584.242572,1343,80.0
1736637587.672536,1344,80.0
1736637591.5292733,1345,80.0
1736637595.0410147,1346,80.0
1736637598.7611141,1347,80.0
1736637600.1206014,1348,32.0
1736637603.8464057,1349,80.0
1736637607.320397,1350,80.0
1736637610.9334016,1351,80.0
1736637621.6005895,1354,80.0
1736637625.1081777,1355,80.0
1736637636.06152,1358,80.0
1736637637.367922,1359,31.0
1736637643.2381024,1361,55.0
1736637647.0101235,1362,80.0
1736637650.3524263,1363,80.0
1736637657.09529,1365,80.0
1736637661.3210566,1366,80.0
1736637664.7008934,1367,80.0
1736637671.4028246,1369,80.0
1736637673.6023197,1370,52.0
1736637677.3250341,1371,80.0
1736637684.176834,1373,80.0
1736637687.737901,1374,80.0
1736637691.281586,1375,80.0
1736637698.5508769,1377,80.0
1736637702.1164412,1378,80.0
1736637706.1899111,1379,80.0
1736637713.2295783,1381,80.0
1736637716.5551677,1382,80.0
